timestamp,open,high,low,close,volume
2020-11-25,40.0200,40.0700,39.3350,39.7600,2189033
2020-11-24,40.3700,40.6000,39.9400,40.1400,1895379
2020-11-23,39.6100,40.0300,39.2100,39.6700,2266450
2020-11-20,39.0500,39.3800,38.6400,39.2300,1812094
2020-11-19,38.2300,38.8700,37.6900,38.8000,1998847
2020-11-18,40.3100,40.4400,38.6100,38.6200,1942189
2020-11-17,39.7900,40.4800,39.4100,40.2800,1376308
2020-11-16,40.2800,40.6400,39.3000,40.2700,2107766
2020-11-13,38.3200,39.0100,38.2900,38.8700,1745949
2020-11-12,38.3900,38.6800,37.4600,38.1200,1752105
2020-11-11,39.9300,40.2250,38.4000,38.6800,2679620
2020-11-10,38.3000,40.3400,38.2400,39.9200,4248229
2020-11-09,36.6700,41.2950,36.6400,38.1500,3542339
2020-11-06,33.7900,34.5000,33.4000,33.5200,1673822
2020-11-05,34.3400,34.5200,33.8300,33.8500,2788181
2020-11-04,34.4200,34.6700,33.5900,34.2300,3472090
2020-11-03,33.0900,34.8100,33.0600,34.5700,2955102
2020-11-02,31.6000,32.8300,31.3500,32.7900,2944023
2020-10-30,29.7000,31.5500,29.7000,31.2400,3768226
2020-10-29,29.6000,30.5100,29.3400,29.9200,3451701
2020-10-28,30.4100,30.7100,29.4400,29.6000,3155233
2020-10-27,31.8600,32.2800,31.0800,31.0900,2081981
2020-10-26,32.5000,32.6550,31.6500,31.9500,1949041
2020-10-23,33.0500,33.2600,32.6600,32.7900,1222988
2020-10-22,32.4400,32.8650,32.3200,32.7800,1660523
2020-10-21,32.3200,32.6450,32.0700,32.4200,1517061
2020-10-20,32.4700,32.6600,32.1800,32.3200,1493256
2020-10-19,33.1300,33.2200,32.1300,32.1400,2180788
2020-10-16,33.6500,33.7400,33.0100,33.0100,2053221
2020-10-15,33.5800,34.2400,33.5200,33.8100,1182664
2020-10-14,34.4000,34.5000,33.7600,33.8600,1300069
2020-10-13,35.0400,35.4900,34.2400,34.4200,1715641
2020-10-12,35.4300,35.5900,34.9200,35.5400,1928363
2020-10-09,35.9700,35.9700,35.2300,35.4700,1325296
2020-10-08,35.0100,35.7900,34.8900,35.7400,2689476
2020-10-07,35.1700,35.5100,34.6300,35.2100,2699317
2020-10-06,35.2800,35.6700,34.7800,35.0600,2076075
2020-10-05,34.9700,35.1300,34.1950,35.1100,2060945
2020-10-02,33.3400,34.9000,32.8600,34.7400,2583687
2020-10-01,32.6100,33.8100,32.5600,33.8000,2846481
2020-09-30,32.6100,32.8450,32.1800,32.6100,3112233
2020-09-29,32.8600,33.0500,32.1300,32.3200,1434892
2020-09-28,33.0100,33.3800,32.5850,33.0000,1576194
2020-09-25,31.7700,32.4300,31.6200,32.4100,2399744
2020-09-24,31.8700,32.2699,31.6150,31.8400,2192471
2020-09-23,32.8800,33.1800,31.9600,32.0000,2137679
2020-09-22,32.1900,33.1000,32.1620,32.8500,2247757
2020-09-21,33.3300,33.4600,32.0100,32.1500,2959377
2020-09-18,34.5200,34.7500,33.8600,33.9000,3526057
2020-09-17,34.7700,35.1200,34.4700,34.7600,2004547
2020-09-16,34.9400,35.3700,34.7300,34.9600,1811947
2020-09-15,35.0000,35.3900,34.6550,34.8000,1779858
2020-09-14,33.9000,35.4300,33.9000,35.1900,2750013
2020-09-11,34.0800,34.2250,33.4500,33.6600,2490928
2020-09-10,34.5700,34.7500,33.8900,34.2000,2459899
2020-09-09,34.7200,35.1600,34.1500,34.4500,1896556
2020-09-08,35.1500,35.3850,34.2000,34.6200,2105107
2020-09-04,35.2800,35.7400,34.6200,35.3100,2098835
2020-09-03,35.5500,36.0700,34.9600,35.1400,2948592
2020-09-02,34.5500,35.2100,34.2400,35.1700,2377242
2020-09-01,34.5600,34.7100,34.1600,34.6000,1740380
2020-08-31,34.9400,34.9400,34.4400,34.8100,1944915
2020-08-28,35.0000,35.1100,34.3800,35.0900,1292735
2020-08-27,34.0000,35.0900,33.7500,34.9300,1763879
2020-08-26,34.5200,34.5500,33.6500,33.7900,1398850
2020-08-25,34.5300,34.8000,34.1500,34.6200,1255331
2020-08-24,34.0800,34.5300,33.5000,34.5300,1227713
2020-08-21,34.5200,34.6200,33.6300,34.0800,1362861
2020-08-20,34.0300,34.7300,33.9500,34.4000,1002606
2020-08-19,35.1800,35.4000,33.8700,34.1800,1857840
